responsetype,response,name,title,company,bank,doctype,filename
question,"Okay. And do you expect the proposed MPR – with the proposed MPR, you could lower your capital target further? David J. Turner, Jr. Senior Executive Vice President & Chief Financial Officer, Regions Financial Corp. A Well, the way we think about it, forget regulatory supervision in that. We set our capital based on how much capital we think we need to run our business appropriately based on the risk profile that we have. It's not about running our capital down as low as we possibly could get it. It's the optimization. It's the right amount for that. And so as risk profiles change up and down, those capital targets will change up and down. What happens in the MPR is it makes it a little easier for us to manage it based on our own capital planning process versus waiting for a non-objection once a year. We do see it as favorable, not having risk-weighted assets increasing. We see it as favorable that you don't have to consider share repurchases in an adverse scenario. So I think this in an adverse scenario. So I think it'll be incrementally helpful. I don't know that that changes how we think about what our target needs to be though.",Steve Moss,Analyst,"B. Riley FBR, Inc.",regions,qr,../data/quarterly/earningsTran\regions_1Q18.pdf
question,Okay. Thank you very much.,Steve Moss,Analyst,"B. Riley FBR, Inc.",regions,qr,../data/quarterly/earningsTran\regions_1Q18.pdf
answer,"Good morning, Elliott.","O. B. Grayson Hall, Jr.","Chairman, President & Chief Executive Officer",Regions Financial Corp.,regions,qr,../data/quarterly/earningsTran\regions_1Q18.pdf
question,"Hello. Good morning. Thanks for taking the question up. Maybe staying with that capital point, in the past, you've talked about preferred issuance as a possibility. I mean, does that kind of go away now or is that something that you still might need to do as you bring the CET1 down to the 9.5%?",Geoffrey Elliott,Analyst,Autonomous Research LLP,regions,qr,../data/quarterly/earningsTran\regions_1Q18.pdf
answer,"Yeah. Geoffrey, we've always believed that we need – again optimization is – optimization in terms of total capital and the capital stack that is common and preferred and we've espoused having preferred that's about a 1.5 more than our common equity Tier 1. We've been satisfying that preferred component of the stack with common and that's awful expensive for us. So we see over time that we will trade out some common for preferred and you ought to expect that to happen sometime in 2019 as we get our common equity Tier 1 down closer to that 9.5% level. We're going to have to backfill our Tier 1 with the preferred issuance.","David J. Turner, Jr.",Senior Executive Vice President & Chief Financial Officer,Regions Financial Corp.,regions,qr,../data/quarterly/earningsTran\regions_1Q18.pdf
question,Great. Got it. Thank you very much.,Geoffrey Elliott,Analyst,Autonomous Research LLP,regions,qr,../data/quarterly/earningsTran\regions_1Q18.pdf
answer,"Good morning, Matt.","O. B. Grayson Hall, Jr.","Chairman, President & Chief Executive Officer",Regions Financial Corp.,regions,qr,../data/quarterly/earningsTran\regions_1Q18.pdf
question,Hello.,Matthew Derek O'Connor,Analyst,"Deutsche Bank Securities, Inc.",regions,qr,../data/quarterly/earningsTran\regions_1Q18.pdf
answer,Hello.,"O. B. Grayson Hall, Jr.","Chairman, President & Chief Executive Officer",Regions Financial Corp.,regions,qr,../data/quarterly/earningsTran\regions_1Q18.pdf
question,"I'm not sure you guys commented on it in some of the earlier remarks. But just on the securities book, the [indiscernible] (56:48) in the securities book going forward, how should we think about that going from here? It came down a little bit versus the fourth quarter levels and, obviously, also a function of both loan and deposit growth, but how do you think about the levels there going forward?",Matthew Derek O'Connor,Analyst,"Deutsche Bank Securities, Inc.",regions,qr,../data/quarterly/earningsTran\regions_1Q18.pdf
answer,"Yeah, Matt, it's David. I think that if you look at that percentage of earning assets that are in securities, I think that's going to be relatively stable. I do think if things change with [ph] SIFI (57:14) designation and things where LCR aren't as important, you can see the makeup of certain securities changing out. For instance, we're using Ginnie Mae securities to help us on our high quality liquid assets and perhaps we could put those to work a little more effectively for us in time. So I think that we would – we're going to continue to evaluate that and make sure we have an appropriate amount of liquidity, that we have the proper duration in the book and as we continue to grow earning assets, we'll have some portion of that in securities.","David J. Turner, Jr.",Senior Executive Vice President & Chief Financial Officer,Regions Financial Corp.,regions,qr,../data/quarterly/earningsTran\regions_1Q18.pdf
